Method	ID	Species	Fishery	Year	Quarter	Tno	0	1	2	3	4	5	6	7	8	9
DMPAB	77	BET	FS	1997	2	74720	1263	18599	25875	1141	4824	11892	6448	2590	1187	901
DMPAB	78	BET	FS	1997	3	10380	420	1549	1269	274	1600	2972	1291	472	254	279
DMPAB	79	BET	FS	1997	4	17458	1630	6420	5902	764	1029	966	435	175	82	55
DMPAB	80	BET	FS	1998	1	174278	464	26828	137536	5723	2134	1111	330	83	39	30
DMPAB	81	BET	FS	1998	2	251274	4791	49639	137526	18268	23455	12169	3678	962	449	337
DMPAB	82	BET	FS	1998	3	117550	3429	27423	33250	12801	21995	12906	3920	1018	466	342
DMPAB	83	BET	FS	1998	4	117063	2322	22694	65948	10938	8350	4116	1550	575	312	258
DMPAB	84	BET	FS	1999	1	149473	823	28419	58903	16952	17830	13781	6493	2880	1695	1697
DMPAB	85	BET	FS	1999	2	209010	114	38402	142611	27158	723	2	0	0	0	0
DMPAB	86	BET	FS	1999	3	155475	7031	65952	74749	7655	88	0	0	0	0	0
DMPAB	87	BET	FS	1999	4	178950	14080	59712	74948	11736	2745	3914	5094	3117	1907	1697
DMPAB	88	BET	FS	2000	1	109727	40	1402	4544	14783	50273	24167	8062	2885	1569	2002
DMPAB	89	BET	FS	2000	2	242870	26	16833	197509	27337	1153	12	0	0	0	0
DMPAB	90	BET	FS	2000	3	22649	278	6809	11136	1630	1310	764	361	154	99	108
DMPAB	91	BET	FS	2000	4	10300	2	8	20	663	2385	3580	1873	746	494	529
DMPAB	92	BET	FS	2001	1	66843	785	4382	10543	15706	13404	10568	6366	2718	1357	1014
DMPAB	93	BET	FS	2001	2	138454	5499	21334	85935	16368	2602	2653	2135	1047	532	349
DMPAB	94	BET	FS	2001	3	20380	4	18	193	5798	7394	3492	1840	837	455	349
DMPAB	95	BET	FS	2001	4	11457	1	54	37	161	1448	3335	2786	1556	1000	1079
DMPAB	96	BET	FS	2002	1	60282	197	17202	11703	1657	10351	10188	4782	2087	1142	973
DMPAB	97	BET	FS	2002	2	28100	188	3501	10188	411	839	4037	3975	2140	1421	1400
DMPAB	98	BET	FS	2002	3	17887	666	6254	9772	1108	87	0	0	0	0	0
DMPAB	99	BET	FS	2002	4	39683	298	1097	1813	763	6886	14319	8796	3375	1423	913
DMPAB	100	BET	FS	2003	1	58647	407	3554	5138	7692	13642	13440	8069	3487	1797	1421
DMPAB	101	BET	FS	2003	2	106522	494	15892	25163	17821	20191	12084	5946	3283	2372	3276
DMPAB	102	BET	FS	2003	3	76680	614	14509	11226	15213	8501	6695	5796	4085	3674	6367
DMPAB	103	BET	FS	2003	4	13374	72	1175	1169	5757	3567	900	447	169	72	46
DMPAB	104	BET	FS	2004	1	37794	24	4220	9913	4916	5735	5404	3509	1533	1011	1529
DMPAB	105	BET	FS	2004	2	61014	3	473	1264	29464	17124	5849	3204	1650	1029	954
DMPAB	106	BET	FS	2004	3	17167	39	1878	4222	3263	3526	2163	954	463	327	332
DMPAB	107	BET	FS	2004	4	17041	76	1716	3848	1012	2424	3051	2002	1182	836	894
DMPAB	108	BET	FS	2005	1	105774	309	9018	27238	3583	16044	20406	13526	6817	4231	4602
DMPAB	109	BET	FS	2005	2	58639	810	5651	41105	6259	915	1087	1014	671	509	618
DMPAB	110	BET	FS	2005	3	84026	1646	16457	17603	5219	8596	13237	9730	5276	3247	3015
DMPAB	111	BET	FS	2005	4	49852	204	3991	4172	941	8110	13624	9114	4578	2691	2427
DMPAB	112	BET	FS	2006	1	90889	522	5824	36984	5599	4698	13752	10866	5698	3507	3439
DMPAB	113	BET	FS	2006	2	45355	198	1809	4618	3010	3654	11101	9858	5228	3081	2798
DMPAB	114	BET	FS	2006	3	42737	559	6654	7658	1793	2988	8169	6591	3515	2239	2571
DMPAB	115	BET	FS	2006	4	80701	1899	32190	33585	12699	182	69	47	18	8	4
DMPAB	116	BET	FS	2007	1	361736	6357	134430	155468	44932	4140	8388	5109	1802	708	402
DMPAB	117	BET	FS	2007	2	33610	1079	2659	12274	341	3162	6778	3938	1654	888	837
DMPAB	118	BET	FS	2007	3	44019	1280	17635	3305	1712	3831	7055	4606	1994	1164	1437
DMPAB	119	BET	FS	2007	4	24064	20	60	77	282	5098	9183	5158	2021	1091	1074
DMPAB	120	BET	FS	2008	1	148148	745	8486	11751	4443	28785	46047	26775	11042	5507	4567
DMPAB	121	BET	FS	2008	2	33034	1872	13432	11261	1228	1384	1995	963	427	256	216
DMPAB	122	BET	FS	2008	3	37994	2648	8539	9486	464	2941	7138	4125	1554	671	428
DMPAB	123	BET	FS	2008	4	170860	5038	49946	72787	3362	8881	14847	8329	3752	2094	1824
DMPAB	124	BET	FS	2009	1	207430	3918	59315	89632	10465	10429	14000	9416	4621	2793	2841
DMPAB	125	BET	FS	2009	2	20140	546	1251	6102	901	3411	4425	2014	792	393	305
DMPAB	126	BET	FS	2009	3	39525	1340	7267	13454	885	3693	6646	3821	1420	614	385
DMPAB	127	BET	FS	2009	4	47044	353	10726	11905	3798	5685	8254	4051	1357	560	355
DMPAB	128	BET	FS	2010	1	130501	2496	46988	56827	7515	5618	6348	2740	958	511	500
DMPAB	129	BET	FS	2010	2	53869	178	1513	9082	10474	5130	8374	8240	4744	3057	3077
DMPAB	130	BET	FS	2010	3	13272	28	1379	7940	2737	121	448	384	147	57	31
DMPAB	131	BET	FS	2010	4	43816	810	11067	19751	5103	476	2561	2268	992	472	316
DMPAB	132	BET	FS	2011	1	92722	1553	31363	39400	4301	3952	5051	3591	1731	973	807
DMPAB	133	BET	FS	2011	2	63449	1567	10201	39411	3009	2442	4151	1601	584	280	203
DMPAB	134	BET	FS	2011	3	91908	3771	10839	12934	3464	17746	22010	11075	4939	2698	2432
DMPAB	135	BET	FS	2011	4	52994	935	6763	10799	6718	8017	8949	5495	2587	1447	1284
DMPAB	136	BET	LL	1952	4	6430	0	4	18	494	2116	2047	933	387	218	213
DMPAB	137	BET	LL	1953	1	4061	0	0	10	436	1507	1140	516	219	119	114
DMPAB	138	BET	LL	1953	2	7591	0	0	13	915	2122	2089	1225	579	341	307
DMPAB	139	BET	LL	1953	3	5068	0	1	25	727	1538	1423	723	319	174	138
DMPAB	140	BET	LL	1953	4	20059	0	6	58	1233	5405	6570	3297	1559	973	958
DMPAB	141	BET	LL	1954	1	18809	0	11	231	1639	4758	4538	2794	1592	1254	1992
DMPAB	142	BET	LL	1954	2	40035	0	2	38	4065	10251	8870	5793	3415	2907	4694
DMPAB	143	BET	LL	1954	3	41964	1	13	314	5499	11928	10734	5994	3072	2083	2326
DMPAB	144	BET	LL	1954	4	44067	0	23	218	3712	12088	12783	6759	3524	2393	2567
DMPAB	145	BET	LL	1955	1	52135	0	12	265	4497	15198	14175	8096	4045	2677	3170
DMPAB	146	BET	LL	1955	2	34098	0	11	219	3967	10050	7636	4354	2521	2111	3229
DMPAB	147	BET	LL	1955	3	44214	1	24	791	6354	11655	10635	6272	3344	2352	2786
DMPAB	148	BET	LL	1955	4	74583	1	39	316	5968	17907	19410	11343	6451	5135	8013
DMPAB	149	BET	LL	1956	1	55542	0	9	210	5310	16529	14778	8297	4130	2792	3487
DMPAB	150	BET	LL	1956	2	55558	0	11	332	6523	15211	12580	7455	4220	3548	5678
DMPAB	151	BET	LL	1956	3	84060	2	39	662	11850	22044	19440	11702	6674	4993	6654
DMPAB	152	BET	LL	1956	4	72769	1	36	291	5673	16436	18197	11198	6593	5457	8887
DMPAB	153	BET	LL	1957	1	87282	0	21	433	8091	26069	23689	13321	6495	4220	4943
DMPAB	154	BET	LL	1957	2	53538	0	6	301	6444	13930	11720	7322	4287	3631	5897
DMPAB	155	BET	LL	1957	3	56799	2	58	822	11062	15332	11512	6289	3732	3041	4949
DMPAB	156	BET	LL	1957	4	61394	3	31	492	5908	16127	15784	8955	5082	3833	5179
DMPAB	157	BET	LL	1958	1	90328	1	67	910	10020	26200	22410	12840	6493	4649	6738
DMPAB	158	BET	LL	1958	2	72235	0	16	360	7551	17600	15427	10251	6193	5493	9344
DMPAB	159	BET	LL	1958	3	29342	3	41	607	6647	7659	6204	3174	1766	1265	1976
DMPAB	160	BET	LL	1958	4	55476	6	27	748	6898	14189	12919	7304	4186	3407	5792
DMPAB	161	BET	LL	1959	1	51051	1	11	276	5096	14022	12156	7350	4091	3161	4887
DMPAB	162	BET	LL	1959	2	67418	0	12	353	8598	18290	15178	8915	5032	4266	6774
DMPAB	163	BET	LL	1959	3	49027	2	39	689	8526	12341	11309	6569	3638	2551	3363
DMPAB	164	BET	LL	1959	4	43762	1	19	405	5253	11199	11149	6080	3320	2540	3796
DMPAB	165	BET	LL	1960	1	83710	1	19	310	7661	23155	20696	12539	6718	5117	7494
DMPAB	166	BET	LL	1960	2	102872	0	22	581	12525	28078	23367	13700	7782	6539	10278
DMPAB	167	BET	LL	1960	3	63436	2	38	762	10950	18651	15495	8140	4018	2541	2839
DMPAB	168	BET	LL	1960	4	94132	3	41	655	10671	23535	23085	13167	7515	6049	9411
DMPAB	169	BET	LL	1961	1	67938	1	30	470	7252	18236	16201	9789	5323	4205	6431
DMPAB	170	BET	LL	1961	2	53466	0	9	376	7230	13149	12506	7245	3980	3395	5576
DMPAB	171	BET	LL	1961	3	66026	3	47	812	11063	18954	15946	8362	4294	2937	3608
DMPAB	172	BET	LL	1961	4	133050	4	134	1034	13688	34480	33705	19259	10992	8502	11252
DMPAB	173	BET	LL	1962	1	99290	1	19	488	8642	27404	26216	15513	7916	5659	7432
DMPAB	174	BET	LL	1962	2	70814	0	13	453	9920	18946	15500	9093	5303	4453	7133
DMPAB	175	BET	LL	1962	3	121741	3	46	783	17427	37188	30820	16223	8154	5311	5786
DMPAB	176	BET	LL	1962	4	107213	5	87	988	12170	27293	24868	14625	8519	7051	11607
DMPAB	177	BET	LL	1963	1	70760	1	22	463	7502	20187	18015	10516	5412	3798	4844
DMPAB	178	BET	LL	1963	2	50489	0	8	349	7775	11791	11158	6637	3923	3392	5456
DMPAB	179	BET	LL	1963	3	95845	3	31	589	13714	35022	24461	10838	4931	3046	3210
DMPAB	180	BET	LL	1963	4	77119	1	32	531	8073	18706	19215	11357	6381	5089	7734
DMPAB	181	BET	LL	1964	1	65889	0	0	51	6529	17860	17335	10490	5279	3678	4667
DMPAB	182	BET	LL	1964	2	85109	0	0	27	9128	24014	19603	12012	6663	5391	8271
DMPAB	183	BET	LL	1964	3	125704	0	0	109	10851	35557	31803	19536	11690	8071	8087
DMPAB	184	BET	LL	1964	4	101653	0	0	63	8844	25927	27808	17183	8671	6016	7141
DMPAB	185	BET	LL	1965	1	116616	0	0	256	15440	31401	27001	16445	8604	6784	10685
DMPAB	186	BET	LL	1965	2	99902	0	0	70	14362	28194	21962	13758	7443	5840	8273
DMPAB	187	BET	LL	1965	3	98575	0	0	133	13405	27743	22094	13716	8134	5836	7514
DMPAB	188	BET	LL	1965	4	98832	0	3	642	8888	25191	23335	13955	8274	6905	11639
DMPAB	189	BET	LL	1966	1	142078	0	12	136	10132	42652	31902	19483	11761	9805	16195
DMPAB	190	BET	LL	1966	2	112722	0	40	885	14105	30857	19489	11714	8243	8719	18670
DMPAB	191	BET	LL	1966	3	102311	2	511	4115	22704	27595	17552	10636	6047	5522	7627
DMPAB	192	BET	LL	1966	4	142395	11	211	1290	19403	28709	31410	20459	12458	10887	17557
DMPAB	193	BET	LL	1967	1	164934	0	0	210	18533	52006	41536	23566	11212	7756	10115
DMPAB	194	BET	LL	1967	2	137545	0	0	82	15148	38261	35128	19478	10913	7982	10553
DMPAB	195	BET	LL	1967	3	142708	0	0	28	15414	44276	34795	19087	11612	8216	9280
DMPAB	196	BET	LL	1967	4	94614	0	49	187	8673	27659	23214	15115	7614	5364	6739
DMPAB	197	BET	LL	1968	1	207488	0	344	1683	20498	60818	52319	31098	15707	10487	14534
DMPAB	198	BET	LL	1968	2	211659	1	403	1301	27910	54149	48557	32327	17085	12251	17675
DMPAB	199	BET	LL	1968	3	255453	0	47	482	30047	69620	60707	41075	22698	13818	16959
DMPAB	200	BET	LL	1968	4	178586	1	79	665	14525	50601	46925	31434	15030	8800	10526
DMPAB	201	BET	LL	1969	1	248048	1	53	4783	37231	70664	54354	31184	18432	13484	17862
DMPAB	202	BET	LL	1969	2	153165	0	0	928	19794	51726	41195	17156	8106	6263	7997
DMPAB	203	BET	LL	1969	3	166462	2	25	239	23655	54151	47798	17270	8669	6735	7918
DMPAB	204	BET	LL	1969	4	158446	59	142	950	33572	53891	32486	16161	7820	5736	7629
DMPAB	205	BET	LL	1970	1	123961	9	192	4365	20142	32526	25663	20165	7493	5126	8280
DMPAB	206	BET	LL	1970	2	176293	4	356	8465	22457	56869	41490	23588	9194	6033	7837
DMPAB	207	BET	LL	1970	3	243316	38	212	11326	32631	92139	50914	26644	13202	8081	8129
DMPAB	208	BET	LL	1970	4	139803	17	95	2322	16588	42578	37058	17123	9283	6945	7794
DMPAB	209	BET	LL	1971	1	129407	0	46	2396	18595	31630	31236	16304	9497	7850	11853
DMPAB	210	BET	LL	1971	2	157478	13	2	149	38750	40335	36085	17405	9375	6872	8492
DMPAB	211	BET	LL	1971	3	146567	0	15	1029	22933	25352	37292	25871	14678	9782	9615
DMPAB	212	BET	LL	1971	4	92026	0	50	2023	19848	21073	18425	12785	7357	5091	5374
DMPAB	213	BET	LL	1972	1	132208	4	68	2983	18523	37183	37107	19089	7224	4935	5092
DMPAB	214	BET	LL	1972	2	129743	0	0	138	10379	47926	38630	18852	6282	3878	3658
DMPAB	215	BET	LL	1972	3	97432	0	14	752	9243	32974	23121	12523	7756	5558	5491
DMPAB	216	BET	LL	1972	4	93287	0	52	480	7596	22875	20872	14987	9300	7364	9761
DMPAB	217	BET	LL	1973	1	87006	0	51	218	4461	20754	20610	15838	9540	6817	8717
DMPAB	218	BET	LL	1973	2	101568	0	55	233	5367	29082	25374	15758	9302	6923	9474
DMPAB	219	BET	LL	1973	3	86372	0	15	176	4373	32092	27579	9931	4826	3462	3918
DMPAB	220	BET	LL	1973	4	83295	0	54	435	3260	22515	27001	11972	5907	4666	7485
DMPAB	221	BET	LL	1974	1	144089	0	161	1209	20062	35435	47124	18223	7431	5498	8946
DMPAB	222	BET	LL	1974	2	172490	0	110	849	25953	41394	69087	22180	5832	3061	4024
DMPAB	223	BET	LL	1974	3	145039	52	1570	3637	13207	29138	41747	24588	11806	8516	10778
DMPAB	224	BET	LL	1974	4	173676	49	1735	7958	20393	31660	38521	31121	16163	11735	14341
DMPAB	225	BET	LL	1975	1	272402	1	257	9225	39497	68160	54898	38972	21181	15518	24693
DMPAB	226	BET	LL	1975	2	272273	6	1082	13522	90899	69808	43286	21977	12341	9337	10015
DMPAB	227	BET	LL	1975	3	195076	84	898	10044	52401	41766	29003	23156	16203	10958	10563
DMPAB	228	BET	LL	1975	4	207824	1	484	7364	46688	48460	36689	26551	16499	11193	13895
DMPAB	229	BET	LL	1976	1	163480	2	102	2284	19890	37366	32097	28254	15357	10444	17684
DMPAB	230	BET	LL	1976	2	193991	0	30	4248	39133	96138	26371	9889	7079	5731	5372
DMPAB	231	BET	LL	1976	3	224485	0	1	633	90942	93780	16929	6617	5234	4872	5477
DMPAB	232	BET	LL	1976	4	180758	6	497	3279	33206	62811	29852	17443	10985	9971	12708
DMPAB	233	BET	LL	1977	1	123286	10	378	2707	21385	39777	21520	11149	7013	7282	12065
DMPAB	234	BET	LL	1977	2	183949	0	4	195	18176	48552	45668	18703	10188	13154	29309
DMPAB	235	BET	LL	1977	3	220900	0	7	341	22605	61209	56082	26650	14816	13326	25864
DMPAB	236	BET	LL	1977	4	191172	0	17	475	12222	30947	50651	31253	17659	16352	31596
DMPAB	237	BET	LL	1978	1	333592	0	6	324	7267	51908	85941	65007	38464	31320	53355
DMPAB	238	BET	LL	1978	2	269476	0	20	1799	24683	89346	76150	34348	16651	11598	14881
DMPAB	239	BET	LL	1978	3	277543	0	54	1783	27863	91939	88732	33323	13233	9168	11448
DMPAB	240	BET	LL	1978	4	161946	0	2	569	11478	50632	47068	22838	11102	7952	10305
DMPAB	241	BET	LL	1979	1	154637	5	27	603	20083	46863	40904	18916	10218	6851	10167
DMPAB	242	BET	LL	1979	2	214553	5	9	620	36446	57600	51528	24827	14613	11119	17786
DMPAB	243	BET	LL	1979	3	234058	6	22	335	27830	82635	69245	25064	11918	7783	9220
DMPAB	244	BET	LL	1979	4	188474	11	29	920	33351	61634	52621	21333	7584	4710	6281
DMPAB	245	BET	LL	1980	1	147027	7	23	498	22039	47268	38041	17293	8451	5601	7806
DMPAB	246	BET	LL	1980	2	205511	99	573	1980	35146	52468	44091	22599	11878	11051	25626
DMPAB	247	BET	LL	1980	3	252745	9	118	5813	51665	72380	66165	25154	11079	8237	12125
DMPAB	248	BET	LL	1980	4	223433	2	92	3419	50280	56263	52421	26874	12185	8350	13547
DMPAB	249	BET	LL	1981	1	173173	3	20	939	25105	42472	37101	25373	13481	10526	18153
DMPAB	250	BET	LL	1981	2	219839	1	140	2986	40566	73950	42652	25701	13182	8764	11897
DMPAB	251	BET	LL	1981	3	222415	8	148	2844	41466	76183	48753	22974	10845	8032	11162
DMPAB	252	BET	LL	1981	4	204243	1	40	2274	41051	61941	36974	19867	11964	10387	19744
DMPAB	253	BET	LL	1982	1	201872	12	49	1746	33198	63248	35688	22499	13702	10400	21330
DMPAB	254	BET	LL	1982	2	266884	6	73	3779	33602	63019	45594	30133	20417	19343	50918
DMPAB	255	BET	LL	1982	3	217541	33	156	4800	39097	80574	41653	19298	10333	8189	13408
DMPAB	256	BET	LL	1982	4	271747	30	680	9672	47643	76227	56639	31457	17535	13433	18431
DMPAB	257	BET	LL	1983	1	290286	15	196	4036	52024	86477	61216	30794	16744	13020	25764
DMPAB	258	BET	LL	1983	2	306450	2	76	2321	52255	79196	65678	32566	18667	17543	38146
DMPAB	259	BET	LL	1983	3	273734	5	187	6655	41452	79232	75311	33967	15289	10338	11298
DMPAB	260	BET	LL	1983	4	257071	1	58	4327	40061	68679	62786	34386	18976	13288	14509
DMPAB	261	BET	LL	1984	1	184107	7	154	2870	26440	56827	41250	22251	11874	8644	13790
DMPAB	262	BET	LL	1984	2	203933	6	98	2390	22632	47591	50955	24443	16000	15386	24432
DMPAB	263	BET	LL	1984	3	226906	8	95	3751	34379	71672	56434	23449	12394	9531	15193
DMPAB	264	BET	LL	1984	4	262803	13	190	3173	26477	85886	63718	30539	17106	12937	22764
DMPAB	265	BET	LL	1985	1	230629	3	77	1788	21965	74049	56109	29120	16020	12361	19137
DMPAB	266	BET	LL	1985	2	224469	2	27	1098	25995	62578	62332	31222	15481	10708	15026
DMPAB	267	BET	LL	1985	3	283068	1	48	1056	48404	93891	68554	32649	14997	9762	13706
DMPAB	268	BET	LL	1985	4	299071	22	849	5607	49907	95129	68427	33383	16633	11895	17219
DMPAB	269	BET	LL	1986	1	249411	9	349	3550	30500	81993	57831	28892	14992	11917	19378
DMPAB	270	BET	LL	1986	2	218419	10	338	3315	21700	71791	57989	26684	13141	9500	13951
DMPAB	271	BET	LL	1986	3	273239	0	106	1896	27656	91429	76878	33304	15310	10533	16127
DMPAB	272	BET	LL	1986	4	315987	2	15	582	31890	100571	92087	44870	18523	11811	15636
DMPAB	273	BET	LL	1987	1	270463	0	1	591	20335	87234	71121	37149	17880	13655	22497
DMPAB	274	BET	LL	1987	2	253946	0	1	171	18620	76437	86589	36780	13224	8224	13900
DMPAB	275	BET	LL	1987	3	284426	0	13	399	27108	90954	90357	34264	12208	9941	19182
DMPAB	276	BET	LL	1987	4	294015	2	43	821	27135	84399	76575	39908	18722	16628	29782
DMPAB	277	BET	LL	1988	1	344685	0	2	730	27222	97645	96779	47715	25150	19626	29816
DMPAB	278	BET	LL	1988	2	244806	0	29	1807	16842	56683	73660	36255	18361	15601	25568
DMPAB	279	BET	LL	1988	3	281704	0	6	1765	25048	74686	89541	39784	16930	14081	19863
DMPAB	280	BET	LL	1988	4	337967	0	18	1892	40682	101609	99190	38279	16893	14786	24618
DMPAB	281	BET	LL	1989	1	298586	19	337	1779	36559	87736	77160	36217	19358	15683	23738
DMPAB	282	BET	LL	1989	2	308259	0	4	836	46988	82831	70953	35498	20271	20041	30837
DMPAB	283	BET	LL	1989	3	320025	0	7	2825	61031	101133	73424	32894	15663	13315	19733
DMPAB	284	BET	LL	1989	4	382730	0	35	6733	76570	98307	97709	49566	21685	14511	17614
DMPAB	285	BET	LL	1990	1	299434	0	79	3138	34619	85391	78589	43205	19786	13863	20764
DMPAB	286	BET	LL	1990	2	242466	0	1	263	27650	76147	63016	34357	16042	10787	14203
DMPAB	287	BET	LL	1990	3	387972	0	5	569	38717	129539	110417	49158	22055	15740	21772
DMPAB	288	BET	LL	1990	4	411919	0	3	251	34916	115512	125121	65613	30401	17634	22468
